ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
47714,гр.,Мездра,VRC,VRC27,VRC27-00,1,3,4,1901,NW,2998
47723,с.,Мездрея,MON,MON02,MON02-12,3,7,5,1901,NW,2999
47737,с.,Мезек,HKV,HKV28,HKV28-16,3,7,3,1901,S,3000
47754,гр.,Мелник,BLG,BLG40,BLG40-28,1,5,5,1901,SW,3001
47768,с.,Мелница,JAM,JAM07,JAM07-14,3,7,3,1901,SE,3002
47771,с.,Меляне,MON,MON14,MON14-13,3,7,4,1901,NW,3003
47785,с.,Менгишево,SHU,SHU10,SHU10-09,3,7,4,1901,NE,3004
47799,с.,Мендово,BLG,BLG33,BLG33-27,3,8,5,1901,SW,3005
47812,с.,Мененкьово,PAZ,PAZ04,PAZ04-04,3,5,4,1901,S,3006
47826,с.,Мерданя,VTR,VTR20,VTR20-05,3,6,3,1901,N,3007
47843,гр.,Меричлери,HKV,HKV09,HKV09-17,1,5,3,1901,S,3008
47857,с.,Места,BLG,BLG01,BLG01-04,3,6,8,1901,SW,3009
47860,с.,Метлика,KRZ,KRZ15,KRZ15-28,3,7,5,1901,S,3010
47874,с.,Метличина,VAR,VAR09,VAR09-14,3,7,3,1901,NE,3011
47888,с.,Метличина,KRZ,KRZ14,KRZ14-52,3,7,5,1901,S,3012
47891,с.,Метличка,KRZ,KRZ14,KRZ14-26,3,8,6,1901,S,3013
47901,с.,Методиево,DOB,DOB15,DOB15-36,3,7,4,1901,NE,3014
47915,с.,Методиево,SHU,SHU10,SHU10-10,3,7,5,1901,NE,3015
47929,с.,Метохия,KNL,KNL50,KNL50-00,3,8,8,1901,SW,3016
47963,с.,Мечка,PVN,PVN24,PVN24-14,3,6,3,1901,NW,3017
47977,с.,Мечка,RSE,RSE13,RSE13-04,3,6,2,1901,N,3018
47980,с.,Мечкарево,SLV,SLV20,SLV20-27,3,6,3,1901,SE,3019
47994,с.,Мечковица,GAB,GAB05,GAB05-00,3,8,6,1901,N,3020
48009,с.,Мечковци,SFO,SFO20,SFO20-00,3,8,7,1901,SW,3021
48012,с.,Мечкул,BLG,BLG44,BLG44-00,3,8,7,1901,SW,3022
48026,с.,Мечово,TGV,TGV02,TGV02-00,3,8,3,1901,NE,3023
48037,с.,Мещица,PER,PER32,PER32-13,3,6,7,1901,SW,3024
48043,гр.,Мизия,VRC,VRC28,VRC28-00,1,4,2,1901,NW,3025
48057,с.,Мийковци,VTR,VTR13,VTR13-00,3,8,6,1901,N,3026
48060,с.,Микре,LOV,LOV36,LOV36-09,3,7,5,1901,NW,3027
49686,с.,Микрево,BLG,BLG49,BLG49-12,3,5,3,1901,SW,3028
48074,с.,Миладиново,KRZ,KRZ16,KRZ16-19,3,6,5,1901,S,3029
48088,с.,Миладиновци,DOB,DOB15,DOB15-00,3,7,4,1901,NE,3030
48091,с.,Миладиновци,TGV,TGV35,TGV35-53,3,7,5,1901,NE,3031
48101,с.,Миладиновци,JAM,JAM25,JAM25-48,3,7,3,1901,SE,3032
48129,с.,Миланово,SFO,SFO43,SFO43-23,3,6,6,1901,SW,3033
48132,с.,Миланово,SHU,SHU23,SHU23-05,3,6,3,1901,NE,3034
48146,с.,Миле,SML,SML16,SML16-00,3,8,8,1901,S,3035
48152,с.,Милево,PDV,PDV28,PDV28-07,3,6,3,1901,S,3036
48177,с.,Милевци,GAB,GAB35,GAB35-00,3,8,6,1901,N,3037
48194,с.,Милино,TGV,TGV02,TGV02-00,3,8,6,1901,NE,3038
48204,с.,Милковица,PVN,PVN08,PVN08-09,3,5,3,1901,NW,3039
48218,с.,Милково,SML,SML31,SML31-00,3,8,8,1901,S,3040
48235,с.,Милковци,GAB,GAB05,GAB05-00,3,8,5,1901,N,3041
48249,с.,Милкьовци,PER,PER51,PER51-00,3,8,7,1901,SW,3042
48252,с.,Милославци,PER,PER51,PER51-00,3,8,7,1901,SW,3043
48266,с.,Милчина лъка,VID,VID15,VID15-00,3,8,3,1901,NW,3044
48278,с.,Миндя,VTR,VTR04,VTR04-20,3,7,3,1901,N,3045
48283,с.,Миневци,VTR,VTR13,VTR13-00,3,8,5,1901,N,3046
48297,с.,Минерални бани,HKV,HKV19,HKV19-00,3,4,5,1901,S,3047
48307,с.,Минзухар,KRZ,KRZ35,KRZ35-14,3,6,5,1901,S,3048
48324,с.,Мирково,SFO,SFO56,SFO56-00,3,5,6,1901,SW,3049
48338,с.,Мировец,TGV,TGV35,TGV35-00,3,8,5,1901,NE,3050
48341,с.,Мирово,VTR,VTR31,VTR31-12,3,7,4,1901,N,3051
48369,с.,Мирово,SFO,SFO20,SFO20-11,3,7,7,1901,SW,3052
48372,с.,Мирово,SZR,SZR04,SZR04-11,3,6,3,1901,SE,3053
48386,с.,Мировци,SHU,SHU22,SHU22-07,3,6,5,1901,NE,3054
48393,с.,Мировяне,SOF,SOF46,SOF46-43,3,5,6,1901,SW,3055
48409,с.,Миролюбово,BGS,BGS04,BGS04-00,3,8,3,1901,SE,3056
48430,с.,Мирчовци,VTR,VTR13,VTR13-00,3,8,5,1901,N,3057
48444,с.,Мирянци,PAZ,PAZ19,PAZ19-16,3,6,3,1901,S,3058
48458,с.,Митино,BLG,BLG33,BLG33-28,3,7,3,1901,SW,3059
48461,с.,Митовска,SML,SML16,SML16-13,3,7,7,1901,S,3060
48475,с.,Митровци,MON,MON36,MON36-00,3,7,5,1901,NW,3061
48492,с.,Михайлово,VRC,VRC35,VRC35-04,3,6,2,1901,NW,3062
48502,с.,Михайлово,SZR,SZR31,SZR31-27,3,7,3,1901,SE,3063
48516,с.,Михайловци,GAB,GAB05,GAB05-00,3,8,5,1901,N,3064
48524,с.,Михалич,VAR,VAR09,VAR09-15,3,6,4,1901,NE,3065
48533,с.,Михалич,HKV,HKV28,HKV28-00,3,8,5,1901,S,3066
48547,с.,Михалково,SML,SML09,SML09-08,3,5,6,1901,S,3067
48550,с.,Михалци,VTR,VTR22,VTR22-11,3,6,2,1901,N,3068
48564,с.,Михилци,PDV,PDV37,PDV37-05,3,7,5,1901,S,3069
48578,с.,Михнево,BLG,BLG33,BLG33-29,3,5,3,1901,SW,3070
48581,с.,Миховци,GAB,GAB35,GAB35-00,3,8,5,1901,N,3071
48605,с.,Мичковци,GAB,GAB05,GAB05-00,3,8,5,1901,N,3072
48622,с.,Мишевско,KRZ,KRZ08,KRZ08-09,3,6,6,1901,S,3073
48636,с.,Мишеморков хан,VTR,VTR04,VTR04-00,3,8,5,1901,N,3074
48653,с.,Млада гвардия,VAR,VAR08,VAR08-04,3,7,3,1901,NE,3075
48667,с.,Младежко,BGS,BGS12,BGS12-07,3,8,3,1901,SE,3076
48670,с.,Младен,GAB,GAB29,GAB29-21,3,7,5,1901,N,3077
48698,с.,Младиново,HKV,HKV28,HKV28-06,3,7,5,1901,S,3078
48708,с.,Младово,SLV,SLV20,SLV20-28,3,6,3,1901,SE,3079
48711,с.,Мламолово,KNL,KNL04,KNL04-13,3,5,6,1901,SW,3080
48725,с.,Млекарево,SLV,SLV16,SLV16-16,3,6,3,1901,SE,3081
48742,с.,Млечево,GAB,GAB29,GAB29-00,3,8,6,1901,N,3082
48756,с.,Млечино,KRZ,KRZ02,KRZ02-16,3,7,6,1901,S,3083
48765,с.,Могила,SZR,SZR31,SZR31-28,3,6,3,1901,SE,3084
48773,с.,Могила,SHU,SHU19,SHU19-08,3,7,3,1901,NE,3085
48787,с.,Могила,JAM,JAM25,JAM25-27,3,6,3,1901,SE,3086
48790,с.,Могилец,TGV,TGV22,TGV22-52,3,7,4,1901,NE,3087
30380,с.,Могилино,RSE,RSE08,RSE08-10,3,7,5,1901,N,3088
48800,с.,Могилите,GAB,GAB35,GAB35-00,3,8,6,1901,N,3089
48814,с.,Могилица,SML,SML31,SML31-18,3,6,7,1901,S,3090
48828,с.,Могилище,DOB,DOB17,DOB17-00,3,8,3,1901,NE,3091
48831,с.,Могилово,SZR,SZR36,SZR36-00,3,8,4,1901,SE,3092
48845,с.,Могиляне,KRZ,KRZ14,KRZ14-53,3,7,5,1901,S,3093
00045,с.,Мокрен,SLV,SLV11,SLV11-01,3,5,4,1901,SE,3094
48859,с.,Мокреш,MON,MON11,MON11-08,3,5,3,1901,NW,3095
48862,с.,Мокреш,SHU,SHU23,SHU23-06,3,7,3,1901,NE,3096
48876,с.,Мокрище,PAZ,PAZ19,PAZ19-17,3,5,4,1901,S,3097
50245,гр.,Момин проход,SFO,SFO25,SFO25-05,1,5,5,1901,SW,3098
48951,с.,Момин сбор,VTR,VTR04,VTR04-00,3,7,4,1901,N,3099
48903,с.,Момина клисура,PAZ,PAZ04,PAZ04-05,3,5,5,1901,S,3100
48917,с.,Момина сълза,KRZ,KRZ21,KRZ21-07,3,8,5,1901,S,3101
29221,с.,Момина църква,BGS,BGS06,BGS06-10,3,7,4,1901,SE,3102
48920,с.,Момино,TGV,TGV35,TGV35-21,3,7,5,1901,NE,3103
48934,с.,Момино,HKV,HKV34,HKV34-19,3,8,4,1901,S,3104
48948,с.,Момино село,PDV,PDV25,PDV25-03,3,6,3,1901,S,3105
48965,с.,Моминско,PDV,PDV28,PDV28-13,3,7,3,1901,S,3106
48979,с.,Момково,HKV,HKV28,HKV28-07,3,6,3,1901,S,3107
48996,гр.,Момчилград,KRZ,KRZ21,KRZ21-00,1,3,4,1901,S,3108
49000,с.,Момчилово,VAR,VAR08,VAR08-05,3,7,4,1901,NE,3109
49014,с.,Момчиловци,SML,SML31,SML31-19,3,5,8,1901,S,3110
48489,гр.,Монтана,MON,MON29,MON29-00,1,2,3,1901,NW,3111
49028,с.,Морава,VTR,VTR28,VTR28-09,3,5,2,1901,N,3112
49031,с.,Моравица,VRC,VRC27,VRC27-18,3,6,4,1901,NW,3113
49045,с.,Моравица,TGV,TGV02,TGV02-29,3,7,5,1901,NE,3114
49059,с.,Моравка,TGV,TGV02,TGV02-17,3,7,5,1901,NE,3115
49062,с.,Моровеците,GAB,GAB05,GAB05-00,3,8,5,1901,N,3116
49093,с.,Мортагоново,RAZ,RAZ26,RAZ26-08,3,5,4,1901,N,3117
49103,с.,Морянци,KRZ,KRZ15,KRZ15-29,3,8,4,1901,S,3118
49117,с.,Московец,PDV,PDV13,PDV13-30,3,7,5,1901,S,3119
49120,с.,Мост,KRZ,KRZ16,KRZ16-20,3,5,5,1901,S,3120
49148,с.,Мостич,SHU,SHU23,SHU23-07,3,7,3,1901,NE,3121
49151,с.,Мостово,PDV,PDV01,PDV01-00,3,8,8,1901,S,3122
49165,с.,Мочуре,SML,SML27,SML27-00,3,8,8,1901,S,3123
49179,с.,Мощанец,BLG,BLG03,BLG03-00,3,8,5,1901,SW,3124
49182,с.,Мракетинци,PER,PER51,PER51-00,3,8,7,1901,SW,3125
49196,с.,Мрамор,PER,PER51,PER51-00,3,8,7,1901,SW,3126
49206,с.,Мрамор,SOF,SOF46,SOF46-44,3,5,6,1901,SW,3127
49219,с.,Мрамор,HKV,HKV32,HKV32-06,3,6,4,1901,S,3128
49223,с.,Мраморен,VRC,VRC10,VRC10-14,3,6,4,1901,NW,3129
49237,с.,Мрахори,GAB,GAB05,GAB05-23,3,8,5,1901,N,3130
49240,с.,Мраченик,PDV,PDV13,PDV13-00,3,8,6,1901,S,3131
49254,с.,Мрежичко,BGS,BGS18,BGS18-16,3,6,5,1901,SE,3132
49268,с.,Мрежичко,KRZ,KRZ08,KRZ08-28,3,8,5,1901,S,3133
49271,с.,Мръзеци,GAB,GAB35,GAB35-00,3,8,6,1901,N,3134
49285,с.,Мугла,SML,SML31,SML31-20,3,7,8,1901,S,3135
49299,с.,Музга,GAB,GAB05,GAB05-21,3,7,5,1901,N,3136
49309,с.,Мулдава,PDV,PDV01,PDV01-13,3,5,4,1901,S,3137
49326,с.,Мурга,KRZ,KRZ35,KRZ35-17,3,8,7,1901,S,3138
49334,с.,Мургаш,SFO,SFO09,SFO09-00,3,8,6,1901,SW,3139
49343,с.,Мургово,KRZ,KRZ16,KRZ16-21,3,7,4,1901,S,3140
49357,с.,Мурено,PER,PER19,PER19-00,3,8,7,1901,SW,3141
49360,с.,Мурсалево,KNL,KNL27,KNL27-06,3,6,5,1901,SW,3142
49374,с.,Муртинци,PER,PER08,PER08-00,3,8,7,1901,SW,3143
49388,с.,Мусачево,SFO,SFO17,SFO17-10,3,5,6,1901,SW,3144
49391,с.,Мусачево,SZR,SZR07,SZR07-06,3,7,2,1901,SE,3145
49401,с.,Мусево,KRZ,KRZ02,KRZ02-00,3,8,7,1901,S,3146
49415,с.,Муселиево,PVN,PVN21,PVN21-10,3,6,1,1901,NW,3147
49429,с.,Мусина,VTR,VTR22,VTR22-12,3,7,3,1901,N,3148
49432,с.,Мусомища,BLG,BLG11,BLG11-09,3,5,6,1901,SW,3149
49446,с.,Мустрак,HKV,HKV28,HKV28-08,3,7,5,1901,S,3150
49450,с.,Мухово,SFO,SFO20,SFO20-00,3,8,6,1901,SW,3151
49463,с.,Муця,GAB,GAB12,GAB12-00,3,8,5,1901,N,3152
49477,с.,Мъглен,BGS,BGS01,BGS01-07,3,5,4,1901,SE,3153
49480,с.,Мъглене,KRZ,KRZ14,KRZ14-27,3,8,6,1901,S,3154
